product_id,product_cat,product_brand,product_title,product_price,product_qty,product_desc,product_image,product_keywords
1,4,,Adidas,,40.737259,-73.612213,adidas.png,"Adidas,adidas"
2,4,,Bloomingdale's,,40.738461,-73.611496,blomingdales.png,"Bloomingdale's,bloomingdales"
3,2,,Charlotte Russe,,40.738209,-73.614296,charlotte.webp,"Charlotte,charlotte,charlotterusse"
4,1,,Montblanc,,40.738045,-73.612808,montblanc.png,"montblanc,Montblanc"
5,4,,JCPenney,,40.739529,-73.614021,jcpenny.webp,"jcpenney,JcPenney"
6,5,,Osteria Morini,,40.738262,-73.614288,osteria.webp,"Osteria,osteria"
78,3,,AMC ,,40.742535,-73.61573,amc.webp,"amc,Amc,AMC"
8,4,,Tilly's,,40.738197,-73.612526,tillys.webp,"tillys,Tillys"
9,4,,Zara,,40.737049,-73.612076,zara.webp,"Zara,zara"
10,1,,BOSS,,40.737797,-73.61245,boss.png,"BOSS,boss"
