product_id,product_cat,product_brand,product_title,product_price,product_qty,product_desc,product_image,product_keywords,,,,,
1,4,,Adidas,,40.737259,-73.612213,adidas.png,"Adidas,adidas",,,,,
2,4,,Bloomingdale's,,40.738461,-73.611496,blomingdales.png,"Bloomingdale's,bloomingdales",,,,,
3,2,,Charlotte Russe,,40.738209,-73.614296,charlotte.webp,"Charlotte,charlotte,charlotterusse",,,,,
4,1,,Montblanc,,40.738045,-73.612808,montblanc.png,"montblanc,Montblanc",,,,,
5,4,,JCPenney,,40.739529,-73.614021,jcpenny.webp,"jcpenney,JcPenney",,,,,
6,5,,Osteria Morini,,40.738262,-73.614288,osteria.webp,"Osteria,osteria",,,,,
7,3,,AMC ,,40.742535,-73.61573,amc.webp,"amc,Amc,AMC",,,,,
8,4,,Tilly's,,40.738197,-73.612526,tillys.webp,"tillys,Tillys",,,,,
9,4,,Zara,,40.737049,-73.612076,zara.webp,"Zara,zara",,,,,
10,1,,BOSS,,40.737797,-73.61245,boss.png,"BOSS,boss",,,,,
11,5,,Asian Chao,,"40.738628, -73.613464",,asianchao.png,"Asian,asian",,,,,
12,5,,Auntie Annes's,,"40.738026, -73.612854",,auntiesannes.png,"Auntie,auntie",,,,,
13,5,,Baked by Melissa,,"40.738216, -73.612885",,bakedbymelissa.jfif,"baked,Baked",,,,,
14,5,,Charleys Philly Steaks,,"40.739285, -73.612686",,charleys.png,"charleys,Charleys",,,,,
15,3,,The Children's Place,,"40.736617, -73.612023",,play.webp,"Play,play",,,,,
16,3,,GameStop,,"40.738873, -73.613625",,gamestop.webp,"Gamestop,gamestop",,,,,
17,3,,Glow Golf,,"40.737938, -73.613121",,glowgolf.webp,"Glow,glow,golf,Golf",,,,,
18,3,,Spencer Gifts,,"40.739235, -73.613045",,spencer.webp,"spencer,Spencer",,,,,
19,1,,Bonobos,,,,BONOBOS.png,"Bonobos,bonobos",,,,,
20,1,,Charles Tyrwhitt,,,,"Charles,charles,charlestyrwhitt",,,,,,
21,1,,Suitsupply,,,,SUITSUPPLY.png,"Suitsupply,suitsupply",,,,,
22,1,,Hot Topic,,,,HOTTOPIC.png,"Hot,hot,hottopic",,,,,
23,2,,Aerie,,,,aerie.webp,"Aerie,aerie",,,,,
24,2,,Calzedonia,,,,calzedonia.webp,"Calzedonia,calzedonia",,,,,
25,2,,American Eagle,,,,"American,american,americaneagle",,,,,,
26,2,,Ann Taylor,,,,ann.webp,"Ann,ann,anntaylor",,,,,
