product_id,product_cat,product_brand,product_title,product_price,product_qty,product_desc,product_image,product_keywords
26,4,,A|X Armani Exchange,,,,ARMANI EXCHANGE.png,"Armani,armani,armaniexchange"
22,4,,Adidas,,,,adidas.png,"Adidas,adidas"
2,2,,Aerie,,,,aerie.webp,"Aerie,aerie"
23,4,,Aeropostale,,,,aeropostale.webp,"Aeropostale,aeropostale"
4,2,,Altar'd State,,,,altard.webp,"Altar'd,altar'd,altar'dstate,altard"
78,3,,AMC ,,,,amc.webp,"amc,Amc,AMC"
5,2,,American Eagle,,,,american.webp,"American,american,americaneagle"
6,2,,Ann Taylor,,,,ann.webp,"Ann,ann,anntaylor"
24,4,,Ardene,,,,ardene.png,"Ardene,ardene"
8,2,,Aritzia,,,,aritzia.webp,"Aritzia,aritzia"
9,2,,Armani Exchange,,,,armani.webp,"Armani,armani,armaniexchange"
43,5,,Asian Chao,,,,asianchao.png,"Asian,asian"
44,5,,Auntie Annes's,,,,auntiesannes.png,"Auntie,auntie"
45,5,,Baked by Melissa,,,,bakedbymelissa.jfif,"baked,Baked"
27,4,,Banana Republic,,,,REPUBLIC.png,"Banana,banana,bananarepublic"
46,5,,Bananas,,,,bananas.png,"bananas,Bananas"
25,4,,Bloomingdale's,,,,blomingdales.png,"Bloomingdale's,bloomingdales"
28,1,,Bonobos,,,,BONOBOS.png,"Bonobos,bonobos"
29,1,,BOSS,,,,boss.png,"BOSS,boss"
30,4,,Burberry,,,,BURBERRY.png,"Burberry,burberry"
13,2,,Calzedonia,,,,calzedonia.webp,"Calzedonia,calzedonia"
31,4,,Champs Sports,,,,CHAMPS.png,"Champs,champs,champsstorts"
32,1,,Charles Tyrwhitt,,,,CHARLES.png,"Charles,charles,charlestyrwhitt"
47,5,,Charleys Philly Steaks,,,,charleys.png,"charleys,Charleys"
15,2,,Charlotte Russe,,,,charlotte.webp,"Charlotte,charlotte,charlotterusse"
48,5,,Chick-fil-A,,,,chickfila.png,"chick,Chick"
81,3,,Children's Play Area,,,,play.webp,"Play,play"
49,5,,Chipotle Mexican Grill,,,,chipotle.png,"chipotle,Chipotle"
50,5,,Cinnabon,,,,Cinnabon-logo.png,"Cinnabon,cinnabon"
33,4,,Coach,,,,NEW YORK.png,"coach,Coach"
34,4,,Cotton On,,,,COTTONON.png,"cotton,Cotton,cottonon"
35,4,,Dick's Sporting Goods,,,,dicks.png,"Dicks,dicks,dickssportinggoods"
51,5,,Dunkin' Donuts,,,,dunkindonuts.webp,"dunkin,Dunkin"
19,2,,Everything But Water,,,,everything.jfif,"Everything,everything,everythingbut,everythingbutwater"
36,4,,Express,,,,express.png,"express,Express"
21,2,,Fabletics,,,,fabletics.png,"fabletics,Fabletics"
86,2,,Foot Locker,,,,foot.webp,"foot,Foot,footlocker"
37,1,,Footaction USA,,,,footaction-usa.png,"Footaction,footaction,footactionusa"
38,4,,Forever 21,,,,FOREVER 21.png,"Forever,forever,forever21"
87,2,,Francesca's,,,,francescas.webp,"francescas,Francescas"
88,2,,Free People,,,,free.webp,"free,Free,freepeople"
89,2,,Free People Movement,,,,freem.webp,"freepeoplemovement,Free,freepeople"
79,3,,GameStop,,,,gamestop.webp,"Gamestop,gamestop"
40,4,,Gap,,,,gap.png,"Gap,gap"
92,2,,Garage,,,,garage.webp,"garage,Garage"
80,3,,Glow Golf,,,,glowgolf.webp,"Glow,glow,golf,Golf"
52,5,,Gong Cha,,,,gong.webp,"Gong,gong"
53,5,,Grand Lux Cafe,,,,grand.webp,"grand,Grand"
39,4,,G-Star RAW,,,,G-STAR RAW.png,"G-Star,g-star,s-starraw"
41,4,,GUESS,,,,guess.png,"guess,GUESS"
42,4,,H&M,,,,hm.png,"H&M,h&m"
54,5,,Haagen Dazs,,,,haagen.webp,"haagen,Haagen"
55,5,,Havana Central,,,,havana.webp,"havana,Havana"
144,1,,Hot Topic,,,,HOTTOPIC.png,"Hot,hot,hottopic"
95,2,,Iconic,,,,iconic.png,"iconic,Iconnic"
96,2,,Innataly Bridal,,,,innataly.png,"innatalybridal,innataly,Innataly"
97,2,,Intimissimi,,,,intissimi.webp,Intimissimi
56,5,,Island Poke,,,,island.webp,"island,Island"
57,5,,IT'SUGAR,,,,itsugar.webp,"sugar,Sugar,It,it,IT"
99,4,,J.Crew,,,,jcrew.webp,"jcrew,Jcrew,Jcrew"
98,2,,J.Jill,,,,j.webp,"jjill,Jjill"
58,5,,Jamba Juice,,,,jamba.webp,"jamba,Jamba"
100,4,,JCPenney,,,,jcpenny.webp,"jcpenney,JcPenney"
59,5,,Johnny Rockets,,,,johnny.webp,"Johnny,johnny"
